,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
60,0.57493,0.70155,elu,32,0.5,word2vec,64,1.1,1,True,False,dense
57,0.60026,0.70259,selu,16,0.5,fastText,256,0.9500000000000001,1,False,False,dense
15,0.55796,0.70259,sigmoid,16,0.5,word2vec,256,1.4000000000000001,4,False,False,dense
44,0.59963,0.70259,sigmoid,16,False,fastText,48,1.5500000000000003,1,True,False,dense
139,0.69808,0.70363,sigmoid,16,0.2,fastText,16,1.25,4,False,False,cnn
177,0.57275,0.70881,elu,16,0.2,suc,16,0.5,4,True,False,dense
5,1.22338,0.71192,tanh,16,False,gloVe,64,1.25,3,True,False,cnn
194,0.58066,0.71295,relu,64,0.5,word2vec,48,0.5,4,True,False,dense
196,0.57034,0.71295,relu,16,False,word2vec,8,1.7000000000000002,3,False,False,dense
189,0.56556,0.71295,tanh,16,0.5,word2vec,16,1.5500000000000003,1,True,False,dense
176,0.55129,0.71295,relu,16,0.5,suc,8,1.85,3,False,False,cnn
132,1.17817,0.71399,relu,32,0.2,fastText,64,1.1,4,False,False,cnn
30,0.56706,0.71399,tanh,32,0.5,word2vec,48,1.7000000000000002,2,False,False,dense
88,1.14496,0.7171,tanh,16,False,fastText,64,1.7000000000000002,3,False,False,cnn
6,0.65366,0.71813,elu,64,0.2,fastText,8,1.7000000000000002,4,True,False,cnn
104,0.61475,0.71917,elu,64,0.2,fastText,8,0.65,1,True,False,cnn
178,1.52452,0.72021,relu,16,0.2,word2vec,128,1.4000000000000001,2,False,False,cnn
74,0.57118,0.72124,tanh,16,0.8,word2vec,16,0.65,2,True,False,dense
127,0.56535,0.72332,tanh,64,0.2,word2vec,64,0.5,1,False,False,dense
159,0.55658,0.72435,sigmoid,16,0.5,word2vec,48,1.7000000000000002,2,False,False,dense
98,0.59271,0.72435,tanh,64,0.2,fastText,256,0.8,3,True,False,gru
167,1.24579,0.72435,tanh,16,False,gloVe,48,0.65,4,True,False,cnn
192,0.57692,0.72642,elu,32,0.5,fastText,256,0.65,2,False,False,gru
79,1.74631,0.7285,selu,16,False,fastText,128,1.85,2,True,False,gru
131,0.582,0.72953,selu,32,0.5,gloVe,16,0.65,3,True,False,cnn
114,1.23163,0.73264,elu,16,False,fastText,256,0.5,2,False,False,gru
20,0.5572,0.73264,relu,64,0.5,suc,16,1.1,4,False,False,cnn
109,1.44207,0.73264,elu,32,False,suc,8,1.1,3,True,False,cnn
13,0.84229,0.73368,sigmoid,32,0.2,fastText,128,0.65,4,False,False,cnn
68,1.22175,0.73575,tanh,16,False,fastText,64,1.4000000000000001,2,False,False,cnn
179,0.81938,0.73575,tanh,16,0.2,word2vec,256,0.8,4,True,False,cnn
33,0.49517,0.73679,relu,16,0.5,word2vec,128,1.7000000000000002,3,True,False,bilstm
164,0.55689,0.7399,relu,16,0.5,fastText,128,0.8,1,False,False,bilstm
195,0.53817,0.74093,relu,16,0.5,word2vec,256,1.1,1,False,False,gru
180,0.67294,0.74508,sigmoid,32,0.2,word2vec,128,1.85,1,False,False,gru
16,0.55709,0.74819,selu,32,0.2,word2vec,128,0.65,4,True,False,bilstm
71,0.54286,0.74922,tanh,32,0.5,word2vec,128,0.9500000000000001,2,False,False,gru
52,0.52884,0.75233,tanh,64,0.5,suc,16,1.7000000000000002,3,True,False,cnn
198,0.50045,0.75337,selu,32,0.5,fastText,8,0.5,1,True,False,bilstm
17,0.55499,0.75337,relu,16,0.5,word2vec,128,1.25,2,False,False,gru
59,0.75417,0.75648,tanh,32,0.5,word2vec,128,0.65,2,True,False,cnn
129,0.51177,0.75648,tanh,16,0.2,fastText,8,1.4000000000000001,2,True,False,gru
21,0.57381,0.75751,tanh,32,0.2,word2vec,64,1.4000000000000001,1,True,False,bilstm
101,0.54067,0.75855,sigmoid,64,0.5,fastText,64,1.85,2,True,False,gru
137,0.99036,0.75855,relu,16,False,gloVe,16,1.5500000000000003,4,False,False,gru
25,0.51493,0.76166,elu,16,0.2,word2vec,48,1.25,4,True,False,bilstm
61,0.58834,0.76269,tanh,32,False,word2vec,16,0.9500000000000001,4,False,False,gru
12,0.73086,0.76269,sigmoid,64,0.2,fastText,8,1.7000000000000002,3,True,True,cnn
130,0.54755,0.76373,selu,64,0.5,gloVe,256,0.5,2,False,False,bilstm
24,0.55045,0.76477,elu,32,0.5,suc,48,1.5500000000000003,2,True,False,cnn
11,0.47638,0.76477,elu,64,0.5,word2vec,8,1.85,1,False,False,gru
111,1.08042,0.76477,sigmoid,64,0.2,fastText,64,0.65,4,False,True,cnn
124,0.82615,0.7658,sigmoid,64,0.2,word2vec,8,1.85,2,True,True,cnn
32,0.50076,0.7658,sigmoid,32,0.5,word2vec,16,1.1,4,True,False,gru
149,0.53012,0.7658,selu,64,0.5,gloVe,48,0.65,3,False,False,bilstm
80,1.0115,0.7658,sigmoid,32,0.2,fastText,16,1.1,2,False,True,cnn
188,1.20711,0.7658,relu,16,False,fastText,64,0.65,3,False,False,gru
142,0.58163,0.76684,relu,32,False,fastText,8,0.8,3,False,False,bilstm
28,0.60731,0.76684,tanh,16,0.2,word2vec,64,1.25,4,True,False,bilstm
86,1.21518,0.76788,elu,64,False,suc,8,0.9500000000000001,3,False,False,cnn
169,0.52089,0.76788,sigmoid,32,0.2,fastText,8,1.5500000000000003,4,True,False,bilstm
8,1.58357,0.76891,elu,16,0.5,fastText,256,1.7000000000000002,1,False,True,cnn
107,0.49599,0.76995,selu,32,0.5,fastText,16,1.7000000000000002,1,False,False,bilstm
38,0.94098,0.77098,sigmoid,64,0.2,gloVe,256,1.5500000000000003,3,False,False,gru
40,1.00829,0.77098,tanh,32,False,suc,128,0.5,2,False,False,cnn
158,1.52435,0.77202,elu,64,False,word2vec,16,0.8,3,False,True,gru
97,0.87732,0.77202,tanh,32,0.8,fastText,128,0.5,1,False,True,cnn
183,0.53858,0.77202,relu,64,0.5,gloVe,256,1.1,1,False,False,gru
160,1.25857,0.77202,relu,32,False,fastText,48,1.85,2,True,False,gru
161,1.21098,0.77306,tanh,32,False,suc,48,1.85,1,True,False,bilstm
65,1.03027,0.77306,tanh,16,False,suc,48,1.5500000000000003,4,False,False,bilstm
153,0.65475,0.77409,tanh,64,0.8,gloVe,64,1.7000000000000002,2,False,True,cnn
122,1.08649,0.77409,selu,32,False,fastText,64,0.8,4,False,True,cnn
157,0.90684,0.77513,sigmoid,32,False,gloVe,256,0.65,2,True,False,cnn
136,0.6043,0.77513,elu,16,0.2,gloVe,16,0.9500000000000001,4,False,False,bilstm
35,2.20555,0.77617,relu,16,0.2,suc,48,1.85,3,False,True,gru
156,1.06668,0.7772,sigmoid,32,0.5,fastText,64,1.25,3,True,True,gru
147,1.51096,0.77824,selu,32,False,word2vec,64,1.1,2,False,True,gru
66,0.85392,0.77927,elu,32,0.2,suc,64,1.85,1,False,False,gru
154,1.88486,0.78031,relu,64,0.2,word2vec,16,1.4000000000000001,2,False,True,gru
87,0.45588,0.78135,elu,32,0.5,word2vec,48,1.25,1,False,False,bilstm
184,1.63015,0.78135,elu,16,0.5,fastText,64,1.7000000000000002,4,True,True,cnn
48,1.10443,0.78135,sigmoid,16,False,fastText,16,1.25,2,False,True,cnn
162,1.03256,0.78135,elu,16,False,suc,128,1.4000000000000001,3,False,False,cnn
58,0.98202,0.78135,sigmoid,16,False,word2vec,64,1.85,2,True,False,cnn
51,2.41412,0.78135,relu,64,0.2,word2vec,16,1.85,3,False,True,bilstm
166,0.76483,0.78135,tanh,16,False,gloVe,256,1.4000000000000001,4,True,False,gru
121,1.42627,0.78135,selu,32,0.5,fastText,8,1.85,2,False,True,bilstm
70,1.07863,0.78135,elu,64,0.5,gloVe,64,0.9500000000000001,2,True,True,dense
96,1.686,0.78238,elu,16,0.2,word2vec,64,1.7000000000000002,2,True,True,gru
197,0.99581,0.78238,sigmoid,64,0.8,word2vec,256,1.85,2,False,True,cnn
14,1.50355,0.78238,selu,32,0.2,word2vec,48,1.5500000000000003,4,True,True,gru
75,1.34505,0.78342,elu,16,False,suc,16,1.5500000000000003,1,True,True,gru
67,1.35044,0.78342,selu,32,False,gloVe,8,0.9500000000000001,3,False,True,gru
185,0.88992,0.78342,sigmoid,16,False,gloVe,16,0.5,2,False,True,cnn
115,1.25943,0.78342,elu,64,False,gloVe,256,1.4000000000000001,1,False,False,bilstm
76,0.88987,0.78342,elu,16,0.5,word2vec,128,0.65,1,True,True,dense
112,1.21362,0.78342,sigmoid,64,False,gloVe,128,1.85,1,False,False,bilstm
125,1.3712,0.78446,elu,16,0.2,suc,64,1.25,3,True,True,dense
146,0.51023,0.78549,sigmoid,32,0.5,gloVe,64,1.1,2,False,False,bilstm
165,0.71415,0.78653,relu,16,0.8,suc,64,0.5,3,True,True,dense
