,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
174,0.54757,0.75706,relu,32,False,gloVe,48,1.25,2,True,False,dense
196,0.50978,0.75605,relu,16,False,word2vec,8,1.7000000000000002,3,False,False,dense
116,0.51588,0.75504,tanh,64,0.5,word2vec,128,0.65,3,True,False,dense
74,0.51019,0.75504,tanh,16,0.8,word2vec,16,0.65,2,True,False,dense
127,0.51258,0.75302,tanh,64,0.2,word2vec,64,0.5,1,False,False,dense
194,0.53147,0.75,relu,64,0.5,word2vec,48,0.5,4,True,False,dense
60,0.50883,0.74899,elu,32,0.5,word2vec,64,1.1,1,True,False,dense
143,0.48285,0.74899,selu,16,0.8,fastText,256,0.65,1,False,False,bilstm
187,0.4895,0.74899,selu,64,0.8,fastText,128,1.85,2,False,False,bilstm
186,0.53528,0.74698,tanh,64,0.8,gloVe,256,0.5,2,True,False,bilstm
15,0.48447,0.74597,sigmoid,16,0.5,word2vec,256,1.4000000000000001,4,False,False,dense
50,0.53277,0.74294,relu,64,0.8,suc,48,1.1,1,True,False,bilstm
159,0.48546,0.74294,sigmoid,16,0.5,word2vec,48,1.7000000000000002,2,False,False,dense
44,0.515,0.74093,sigmoid,16,False,fastText,48,1.5500000000000003,1,True,False,dense
26,0.52472,0.73992,elu,64,0.5,gloVe,256,1.1,1,False,False,dense
189,0.51879,0.73891,tanh,16,0.5,word2vec,16,1.5500000000000003,1,True,False,dense
30,0.52831,0.7369,tanh,32,0.5,word2vec,48,1.7000000000000002,2,False,False,dense
31,0.54406,0.7369,tanh,64,0.5,word2vec,8,1.25,4,True,False,dense
92,0.56245,0.73387,sigmoid,64,0.8,suc,128,1.5500000000000003,1,True,False,gru
64,0.55005,0.73387,elu,32,False,fastText,16,1.85,1,True,False,dense
10,0.52511,0.73085,selu,64,0.2,gloVe,256,0.8,4,True,False,dense
91,0.56778,0.72177,tanh,32,0.8,word2vec,256,0.9500000000000001,1,False,False,gru
57,0.5835,0.71976,selu,16,0.5,fastText,256,0.9500000000000001,1,False,False,dense
168,0.56045,0.71875,relu,64,0.8,gloVe,256,1.4000000000000001,1,True,False,gru
90,0.59125,0.71875,tanh,32,0.8,fastText,8,1.85,3,True,False,dense
145,0.62318,0.6623,relu,16,0.8,word2vec,48,0.65,2,True,False,bilstm
63,0.69203,0.66129,tanh,64,0.8,suc,48,1.5500000000000003,3,True,False,bilstm
73,0.66964,0.5625,elu,16,0.8,word2vec,256,0.9500000000000001,3,True,False,gru
182,0.69311,0.5252,elu,32,0.8,gloVe,8,1.25,4,False,False,dense
138,0.6925,0.5131,elu,32,0.8,gloVe,64,0.9500000000000001,4,False,True,dense
22,0.69281,0.50806,selu,32,0.8,gloVe,48,0.5,3,False,False,bilstm
118,0.69304,0.50202,tanh,64,0.8,word2vec,48,0.8,4,True,True,bilstm
82,0.69319,0.50202,sigmoid,32,0.8,fastText,16,0.8,4,True,True,dense
103,0.69318,0.50202,selu,64,0.8,suc,8,0.65,4,True,True,gru
2,0.69314,0.50202,relu,16,0.8,suc,48,1.4000000000000001,3,True,True,gru
148,0.69314,0.50202,sigmoid,16,0.8,word2vec,256,0.8,4,False,True,cnn
37,0.69315,0.50202,tanh,32,0.8,gloVe,256,1.4000000000000001,4,True,False,cnn
102,0.69316,0.50202,elu,32,0.8,gloVe,48,1.5500000000000003,4,True,True,bilstm
106,0.69308,0.50202,elu,64,0.8,suc,48,0.9500000000000001,4,True,True,gru
173,0.69314,0.50202,relu,32,0.8,suc,48,1.5500000000000003,4,True,False,cnn
123,0.69306,0.50202,tanh,16,0.8,suc,8,0.8,4,False,True,cnn
42,0.69465,0.50202,relu,64,0.8,fastText,256,1.1,4,False,False,gru
135,0.69337,0.50202,sigmoid,64,0.8,word2vec,16,1.1,2,False,False,bilstm
72,0.69314,0.50202,relu,64,0.8,fastText,8,0.5,4,True,False,gru
7,0.69314,0.50202,relu,64,0.8,gloVe,16,0.5,2,True,True,bilstm
165,0.69313,0.50101,relu,16,0.8,suc,64,0.5,3,True,True,dense
41,0.69318,0.49798,tanh,64,0.8,suc,64,0.9500000000000001,4,False,True,dense
105,0.69315,0.49798,relu,64,0.8,word2vec,48,0.5,4,False,True,cnn
152,0.69334,0.49798,elu,16,0.8,word2vec,256,1.85,3,True,False,gru
